Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-26	2026-02-26	2026-01	Apple Music	The Face	Confetti Memories	QZPLR2080224	195920977126	1	100	Song	US	0	0.01308573	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	The Face	Mercury Will Burn First (feat. Matthew Houston)	QZFYW2139640	195920981253	5	100	Song	FR	0	0.04385417	0.00000000
2026-02-25	2026-02-25	2026-01	Apple Music	Nuve	Swy	QZFYW2139619	195920986432	1	100	Song	AU	0	0.00873051	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	The Face	Confetti Memories	QZPLR2080224	195920977126	2	100	Song	DE	0	0.00878128	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	AU	0	0.00257596	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	The Face	Baby with a Mustache	QZFYW2139633	195920981253	1	100	Song	CA	0	0.00156166	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	VN	0	0.00091222	0.00000000
2026-02-07	2026-02-07	2025-09	Tencent Direct Deal	Nuve	Khmer	QZFYW2139618	195920986432	1	100	Song	CN	0	0.00077908	0.00000000
2026-02-06	2026-02-06	2023-01	Joox	Nuve	Khmer	QZFYW2139618	195920986432	2	100	Song	TH	0	0.00381923	0.00000000
2026-01-26	2026-01-26	2025-12	YouTube (Red)	The Face	Violent Onsen Geishas (feat. Keek)	QZFYW2139632	195920981253	1	100	Song	KR	0	0.00814999	0.00000000
2026-01-26	2026-01-26	2025-12	YouTube (Red)	The Face	Violent Onsen Geishas (feat. Keek)	QZFYW2139632	195920981253	1	100	Song	US	0	0.01867522	0.00000000
