Account ID,,,,,,,,,,,,,
43546666-87bf-47d5-ac3c-735186a6dfe1,,,,,,,,,,,,,
Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2023-04,2023-06,Leila Mendes,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,DE,Unknown Stream,10,0.0168584,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,ID,Unknown Stream,1,0.0003958,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,PE,Unknown Stream,16,0.0100445,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Spotify,US,Unknown Stream,109,0.3483553,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Spotify,DE,Unknown Stream,1,0.0020244,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Spotify,PE,Unknown Stream,6,0.0037667,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Spotify,US,Unknown Stream,90,0.2878011,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Spotify,PE,Unknown Stream,14,0.0087889,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Spotify,US,Unknown Stream,88,0.279552,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Spotify,DE,Unknown Stream,1,0.0020244,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Spotify,PE,Unknown Stream,12,0.0075334,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Spotify,US,Unknown Stream,115,0.3742972,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Spotify,PE,Unknown Stream,7,0.0043945,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Spotify,US,Unknown Stream,114,0.3706136,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Spotify,PE,Unknown Stream,5,0.0031389,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Spotify,US,Unknown Stream,127,0.4107692,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Spotify,DE,Unknown Stream,1,0.0020244,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Spotify,PE,Unknown Stream,5,0.0031389,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Déjenme,7.34168E+11,QZS632379385,Spotify,US,Unknown Stream,88,0.2806762,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,DE,Unknown Stream,10,0.0165404,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,GB,Unknown Stream,4,0.0193774,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,NL,Unknown Stream,1,0.0023342,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,PA,Unknown Stream,1,0.0012408,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,PE,Unknown Stream,14,0.0087889,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,La Vida es Una Muerte Que Viene,7.34168E+11,QZS642379955,Spotify,US,Unknown Stream,112,0.3620547,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Otro Mundo,7.34168E+11,QZMHL2318427,Spotify,PE,Unknown Stream,15,0.0094167,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Otro Mundo,7.34168E+11,QZMHL2318427,Spotify,US,Unknown Stream,90,0.2981403,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Boomplay,KE,Unknown Stream,1,0.0006337,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Boomplay,MG,Unknown Stream,1,0.0006339,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Boomplay,TG,Unknown Stream,2,0.0012675,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Apple Music,AU,Unknown Stream,1,0.0036467,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quizás Podemos,7.34168E+11,QZMHK2399859,Apple Music,US,Unknown Stream,34,0.1407672,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,A Ver,7.34168E+11,QM42K2309623,Apple Music,US,Unknown Stream,32,0.1334968,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sin Tiempo,7.34168E+11,QM42K2355776,Apple Music,US,Unknown Stream,30,0.1172024,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Apple Music,AU,Unknown Stream,1,0.0036467,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Sé Que,7.34168E+11,QZMHN2381628,Apple Music,US,Unknown Stream,42,0.1722664,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Apple Music,AU,Unknown Stream,1,0.0036467,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Tú y Yo,7.34168E+11,QZS652388451,Apple Music,US,Unknown Stream,37,0.1563848,80,100
2023-04,2023-06,,La Vida Es Una Muerte Que Viene,Quédate,7.34168E+11,QM42K2355071,Apple Music,AU,Unknown Stream,1,0.0036467,80,100
